PID,Name,CPU%,Memory%
1,systemd,0.0,0.19487401050261208
2,kthreadd,0.0,0.0
3,pool_workqueue_release,0.0,0.0
4,kworker/R-rcu_gp,0.0,0.0
5,kworker/R-sync_wq,0.0,0.0
6,kworker/R-slub_flushwq,0.0,0.0
7,kworker/R-netns,0.0,0.0
10,kworker/0:0H-events_highpri,0.0,0.0
13,kworker/R-mm_percpu_wq,0.0,0.0
14,rcu_tasks_kthread,0.0,0.0
15,rcu_tasks_rude_kthread,0.0,0.0
16,rcu_tasks_trace_kthread,0.0,0.0
17,ksoftirqd/0,0.0,0.0
18,rcu_preempt,0.0,0.0
19,rcu_exp_par_gp_kthread_worker/0,0.0,0.0
20,rcu_exp_gp_kthread_worker,0.0,0.0
21,migration/0,0.0,0.0
22,idle_inject/0,0.0,0.0
23,cpuhp/0,0.0,0.0
24,cpuhp/2,0.0,0.0
25,idle_inject/2,0.0,0.0
26,migration/2,0.0,0.0
27,ksoftirqd/2,0.0,0.0
29,kworker/2:0H-events_highpri,0.0,0.0
30,cpuhp/4,0.0,0.0
31,idle_inject/4,0.0,0.0
32,migration/4,0.0,0.0
33,ksoftirqd/4,0.0,0.0
35,kworker/4:0H-events_highpri,0.0,0.0
36,cpuhp/6,0.0,0.0
37,idle_inject/6,0.0,0.0
38,migration/6,0.0,0.0
39,ksoftirqd/6,0.0,0.0
41,kworker/6:0H-events_highpri,0.0,0.0
42,cpuhp/8,0.0,0.0
43,idle_inject/8,0.0,0.0
44,migration/8,0.0,0.0
45,ksoftirqd/8,0.0,0.0
47,kworker/8:0H-events_highpri,0.0,0.0
48,cpuhp/10,0.0,0.0
49,idle_inject/10,0.0,0.0
50,migration/10,0.0,0.0
51,ksoftirqd/10,0.0,0.0
53,kworker/10:0H-events_highpri,0.0,0.0
54,cpuhp/1,0.0,0.0
55,idle_inject/1,0.0,0.0
56,migration/1,0.0,0.0
57,ksoftirqd/1,0.0,0.0
59,kworker/1:0H-events_highpri,0.0,0.0
60,cpuhp/3,0.0,0.0
61,idle_inject/3,0.0,0.0
62,migration/3,0.0,0.0
63,ksoftirqd/3,0.0,0.0
65,kworker/3:0H-events_highpri,0.0,0.0
66,cpuhp/5,0.0,0.0
67,idle_inject/5,0.0,0.0
68,migration/5,0.0,0.0
69,ksoftirqd/5,0.0,0.0
71,kworker/5:0H-events_highpri,0.0,0.0
72,cpuhp/7,0.0,0.0
73,idle_inject/7,0.0,0.0
74,migration/7,0.0,0.0
75,ksoftirqd/7,0.0,0.0
77,kworker/7:0H-events_highpri,0.0,0.0
78,cpuhp/9,0.0,0.0
79,idle_inject/9,0.0,0.0
80,migration/9,0.0,0.0
81,ksoftirqd/9,0.0,0.0
83,kworker/9:0H-events_highpri,0.0,0.0
84,cpuhp/11,0.0,0.0
85,idle_inject/11,0.0,0.0
86,migration/11,0.0,0.0
87,ksoftirqd/11,0.0,0.0
89,kworker/11:0H-events_highpri,0.0,0.0
90,kdevtmpfs,0.0,0.0
91,kworker/R-inet_frag_wq,0.0,0.0
92,kauditd,0.0,0.0
94,oom_reaper,0.0,0.0
95,kworker/R-writeback,0.0,0.0
96,kcompactd0,0.0,0.0
97,ksmd,0.0,0.0
98,khugepaged,0.0,0.0
99,kworker/R-cryptd,0.0,0.0
100,kworker/R-kintegrityd,0.0,0.0
101,kworker/R-kblockd,0.0,0.0
102,kworker/R-blkcg_punt_bio,0.0,0.0
103,irq/9-acpi,0.0,0.0
106,kworker/R-tpm_dev_wq,0.0,0.0
107,kworker/R-ata_sff,0.0,0.0
108,kworker/R-md,0.0,0.0
109,kworker/R-md_bitmap,0.0,0.0
110,kworker/R-edac-poller,0.0,0.0
111,kworker/R-devfreq_wq,0.0,0.0
112,watchdogd,0.0,0.0
113,kworker/2:1H-kblockd,0.0,0.0
114,irq/25-AMD-Vi0-Evt,0.0,0.0
115,irq/26-AMD-Vi0-PPR,0.0,0.0
116,irq/27-AMD-Vi0-GA,0.0,0.0
118,kswapd0,0.0,0.0
126,kworker/R-kthrotld,0.0,0.0
133,irq/30-pciehp,0.0,0.0
134,kworker/R-acpi_thermal_pm,0.0,0.0
135,scsi_eh_0,0.0,0.0
136,kworker/R-scsi_tmf_0,0.0,0.0
137,scsi_eh_1,0.0,0.0
138,kworker/R-scsi_tmf_1,0.0,0.0
141,kworker/R-dm_bufio_cache,0.0,0.0
142,kworker/R-mld,0.0,0.0
143,kworker/R-ipv6_addrconf,0.0,0.0
146,kworker/6:1H-kblockd,0.0,0.0
150,kworker/R-kstrp,0.0,0.0
152,kworker/5:1-events,0.0,0.0
297,kworker/0:1H-kblockd,0.0,0.0
298,kworker/7:1H-kblockd,0.0,0.0
343,kworker/8:1H-kblockd,0.0,0.0
344,kworker/4:1H-kblockd,0.0,0.0
346,kworker/10:1H-kblockd,0.0,0.0
452,kworker/11:1H-kblockd,0.0,0.0
463,kworker/3:1H-kblockd,0.0,0.0
464,kworker/1:1H-kblockd,0.0,0.0
465,kworker/5:1H-kblockd,0.0,0.0
466,kworker/9:1H-kblockd,0.0,0.0
499,irq/58-MSFT0002:00,0.0,0.0
563,kworker/R-nvme-wq,0.0,0.0
564,kworker/R-nvme-reset-wq,0.0,0.0
565,kworker/R-nvme-delete-wq,0.0,0.0
566,kworker/R-nvme-auth-wq,0.0,0.0
576,kworker/R-btrfs-worker,0.0,0.0
577,kworker/R-btrfs-delalloc,0.0,0.0
578,kworker/R-btrfs-flush_delalloc,0.0,0.0
579,kworker/R-btrfs-cache,0.0,0.0
580,kworker/R-btrfs-fixup,0.0,0.0
581,kworker/R-btrfs-endio,0.0,0.0
582,kworker/R-btrfs-endio-meta,0.0,0.0
583,kworker/R-btrfs-rmw,0.0,0.0
584,kworker/R-btrfs-endio-write,0.0,0.0
585,kworker/R-btrfs-compressed-write,0.0,0.0
586,kworker/R-btrfs-freespace-write,0.0,0.0
587,kworker/R-btrfs-delayed-meta,0.0,0.0
588,kworker/R-btrfs-qgroup-rescan,0.0,0.0
589,btrfs-cleaner,0.0,0.0
590,btrfs-transaction,0.0,0.0
591,kworker/R-ttm,0.0,0.0
622,kworker/R-amdgpu-reset-dev,0.0,0.0
623,kworker/R-ttm,0.0,0.0
624,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0
625,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0
626,kworker/R-dm_vblank_control_workqueue,0.0,0.0
627,card2-crtc0,0.0,0.0
628,card2-crtc1,0.0,0.0
629,card2-crtc2,0.0,0.0
630,card2-crtc3,0.0,0.0
631,kworker/R-gfx,0.0,0.0
632,kworker/R-comp_1.0.0,0.0,0.0
633,kworker/R-comp_1.1.0,0.0,0.0
634,kworker/R-comp_1.2.0,0.0,0.0
635,kworker/R-comp_1.3.0,0.0,0.0
636,kworker/R-comp_1.0.1,0.0,0.0
637,kworker/R-comp_1.1.1,0.0,0.0
638,kworker/R-comp_1.2.1,0.0,0.0
639,kworker/R-comp_1.3.1,0.0,0.0
640,kworker/R-sdma0,0.0,0.0
641,kworker/R-vcn_dec,0.0,0.0
642,kworker/R-vcn_enc0,0.0,0.0
643,kworker/R-vcn_enc1,0.0,0.0
644,kworker/R-jpeg_dec,0.0,0.0
710,systemd-journald,0.0,0.15667395417802865
748,systemd-nsresourced,0.0,0.054317030495577165
749,systemd-userdbd,0.0,0.04447719363328624
763,systemd-udevd,0.0,0.09582530783420666
767,psimon,0.0,0.0
871,kworker/R-cfg80211,0.0,0.0
931,irq/81-rtw89_pci,0.0,0.0
947,jbd2/sda2-8,0.0,0.0
948,kworker/R-ext4-rsv-conversion,0.0,0.0
970,systemd-oomd,0.0,0.05259223150534801
971,systemd-resolved,0.0,0.11592911245802517
972,auditd,0.0,0.01999070305068873
999,dbus-broker-launch,0.0,0.03381737036580442
1000,dbus-broker,0.0,0.05816248398198971
1002,avahi-daemon,0.0,0.04792679161374455
1003,bluetoothd,0.0,0.038737288796949876
1006,low-memory-monitor,0.0,0.04133862497893483
1007,polkitd,0.0,0.10857751020458943
1008,rtkit-daemon,0.0,0.022252734513284345
1009,smartd,0.0,0.04467512138626336
1010,accounts-daemon,0.0,0.08041521849527405
1011,switcheroo-control,0.0,0.049453662850996595
1012,systemd-homed,0.0,0.05824731016183704
1013,systemd-logind,0.0,0.08211174209222076
1014,systemd-machined,0.0,0.05508046611420318
1016,udisksd,0.0,0.12101868324886532
1018,upowerd,0.0,0.07408153040000633
1024,avahi-daemon,0.0,0.010348793941374931
1030,psimon,0.0,0.0
1041,psimon,0.0,0.0
1046,alsactl,0.0,0.023440301031147043
1048,chronyd,0.0,0.03214912216214016
1098,abrtd,0.0,0.09630598952000823
1105,ModemManager,0.0,0.11329950088275777
1106,firewalld,0.0,0.3332820606201812
1119,abrt-dump-journal-core,0.0,0.24424284717376132
1120,abrt-dump-journal-oops,0.0,0.29021863665101716
1121,abrt-dump-journal-xorg,0.0,0.24031256750750143
